Station,More Link
Fischerau AT,/results/AT205450_HYDRO?symbol%5BQ%5D=Q
Fischering AT,/results/AT213371_HYDRO?symbol%5BQ%5D=Q
Freising_Isar DE,/results/DE16006500_HYDRO?symbol%5BQ%5D=Q
Frumosu RO,/results/RO42780_HYDRO?symbol%5BQ%5D=Q
Garbolc HU,/results/HU444501_HYDRO?symbol%5BQ%5D=Q
Gestüthof AT,/results/AT211086_HYDRO?symbol%5BQ%5D=Q
Gesztely HU,/results/HU444323_HYDRO?symbol%5BQ%5D=Q
Golling AT,/results/AT203323_HYDRO?symbol%5BQ%5D=Q
Gönyű HU,/results/HU442521_HYDRO?symbol%5BQ%5D=Q
Goražde BA,/results/BA5010_HYDRO?symbol%5BQ%5D=Q
Goričan HR,/results/HR5035_HYDRO?symbol%5BQ%5D=Q
Gornja Radgona I SI,/results/SI1060_HYDRO?symbol%5BQ%5D=Q
Gornji Vakuf BA,/results/BA3010_HYDRO?symbol%5BQ%5D=Q
Graz AT,/results/AT211326_HYDRO?symbol%5BQ%5D=Q
Greimpersdorf AT,/results/AT207688_HYDRO?symbol%5BQ%5D=Q
Guenzburg uh Guenz DE,/results/DE10032009?symbol%5BQ%5D=Q
Gumisch AT,/results/AT213041_HYDRO?symbol%5BQ%5D=Q
Gunja HR,/results/HR3416_HYDRO?symbol%5BQ%5D=Q
Gurahont RO,/results/RO44405_HYDRO?symbol%5BQ%5D=Q
Gyoma HU,/results/HU444371_HYDRO?symbol%5BQ%5D=Q
Gyula HU,/results/HU444552_HYDRO?symbol%5BQ%5D=Q
Han Bila BA,/results/BA15105_HYDRO?symbol%5BQ%5D=Q
Hart im Zillertal AT,/results/AT201780_HYDRO?symbol%5BQ%5D=Q
Hatvan alsó HU,/results/HU444543_HYDRO?symbol%5BQ%5D=Q
Haunstetten_Lech DE,/results/DE12003500_HYDRO?symbol%5BQ%5D=Q
Heiligenkreuz (Kläranlage) AT,/results/AT215046_HYDRO?symbol%5BQ%5D=Q
Heitzenhofen DE,/results/DE14008006_HYDRO?symbol%5BQ%5D=Q
Herzogenburg (Straßenbrücke) AT,/results/AT208777_HYDRO?symbol%5BQ%5D=Q
Hévízgyörk HU,/results/HU444544_HYDRO?symbol%5BQ%5D=Q
Hidasnémeti HU,/results/HU444322_HYDRO?symbol%5BQ%5D=Q
Hidvégardó HU,/results/HU444681_HYDRO?symbol%5BQ%5D=Q
Hofkirchen DE,/results/DE10088003_HYDRO?symbol%5BQ%5D=Q
Hoghiz RO,/results/RO42309_HYDRO?symbol%5BQ%5D=Q
"Hohenau a. d. March (Fluss-km 66,92) AT",/results/AT207308_HYDRO?symbol%5BQ%5D=Q
Hrastnik SI,/results/SI3725_HYDRO?symbol%5BQ%5D=Q
Hrvatsko HR,/results/HR4016_HYDRO?symbol%5BQ%5D=Q
Hundersingen DE,/results/DE5_HYDRO?symbol%5BQ%5D=Q
Ingolstadt Luitpoldstrasse DE,/results/DE10046105_HYDRO?symbol%5BQ%5D=Q
Inkofen DE,/results/DE16607001_HYDRO?symbol%5BQ%5D=Q
Innsbruck (oberh. Sill) AT,/results/AT201525_HYDRO?symbol%5BQ%5D=Q
Innsbruck-Reichenau AT,/results/AT201624_HYDRO?symbol%5BQ%5D=Q
Isaccea RO,/results/RO42055_HYDRO?symbol%5BQ%5D=Q
Izgrev BG,/results/BG22800_HYDRO?symbol%5BQ%5D=Q
Jägerberg AT,/results/AT205757_HYDRO?symbol%5BQ%5D=Q
Jamena (Sava) RS,/results/RS45084_HYDRO?symbol%5BQ%5D=Q
Jamnička Kiselica HR,/results/HR4107_HYDRO?symbol%5BQ%5D=Q
Jaša Tomić (Tamiš) RS,/results/RS42401_HYDRO?symbol%5BQ%5D=Q
